SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1703,4,1,Urban,1953,198183.55815195
2205,2,2,Suburb,2001,242852.8853943124
2619,3,1,Suburb,1960,280160.7374212091
1902,5,2,Suburb,2009,203243.00604487347
1905,2,1,Suburb,2017,172504.53019711594
2556,2,3,Suburb,1993,332312.83644342324
2226,3,1,Urban,1958,287633.864791309
2956,2,3,Urban,1950,261327.83168744604
1304,2,3,Rural,1997,136575.87329612768
1592,2,2,Suburb,1951,250492.22864668828
1422,4,1,Suburb,1954,147316.6508911117
2517,3,1,Rural,1981,279240.9837719816
1852,2,3,Urban,2012,266982.5714151564
1841,5,2,Suburb,2012,237786.2795129445
1343,4,3,Rural,1976,131244.08012578837
2317,4,3,Rural,1984,250399.98723176052
2000,2,3,Urban,1982,283225.9820414174
1226,2,1,Rural,1981,154917.66248283486
1467,4,1,Urban,2021,223645.4544279072
2477,4,3,Suburb,1974,273304.20632075
2649,3,2,Suburb,1968,225521.71668557223
2547,4,3,Rural,1966,286760.4942497297
2930,2,2,Suburb,1961,272043.03256556095
1813,2,2,Suburb,1951,139617.31400205288
2152,5,2,Urban,1967,201204.883899389
2818,4,1,Suburb,2003,319694.0848970686
1264,2,2,Suburb,2021,144446.74581223878
2395,2,2,Suburb,1987,205534.2256100053
1724,2,1,Suburb,1982,137721.09735134215
2953,3,1,Rural,1978,371859.36420643306
2652,4,1,Urban,1978,247417.3431441217
2325,4,2,Rural,1987,349276.7682354183
1550,3,3,Rural,1962,133251.35122205658
1500,2,2,Suburb,1999,175201.5389400458
1280,4,1,Suburb,1953,156860.71004258873
1855,2,1,Suburb,1962,157581.93392607468
2449,4,2,Urban,2014,372438.854038685
1762,2,1,Rural,2007,248401.34549241152
1397,4,2,Rural,1982,145943.6948472312
1513,2,2,Rural,1979,147245.19688377448
2896,3,2,Rural,2018,250188.23095112917
2645,2,2,Rural,2013,341165.4480530975
2085,5,2,Rural,1964,311118.6736565156
1660,4,1,Suburb,2000,142039.2245521621
2348,3,1,Urban,1970,218545.9456904617
2928,2,3,Rural,1983,323452.1164474845
1976,2,3,Urban,2002,148218.10014938953
2454,4,2,Urban,1994,243890.64210298107
1558,3,2,Urban,1962,148845.30440420093
2846,2,2,Suburb,1973,238321.87937031605
1075,2,2,Urban,2013,18134.118009518686
1048,4,2,Rural,1995,97983.48638261708
2325,3,3,Urban,1950,212039.7037584856
1317,3,2,Suburb,1979,225621.7118951133
2386,5,3,Suburb,2003,263665.13889241085
2574,5,1,Rural,2018,289319.9619508007
1000,5,3,Rural,2000,72076.31198067534
1956,3,3,Urban,1969,299315.57330115576
2291,2,3,Urban,1958,160018.1998065816
1173,2,1,Urban,1974,154462.49091071807
1593,3,2,Suburb,1993,115201.6147818298
2958,5,1,Rural,1988,314293.04220245307
2866,2,1,Urban,1980,328221.764670387
1770,4,3,Rural,1966,267453.0329739233
2107,5,2,Rural,1979,241059.8970754976
1666,4,1,Suburb,2016,185248.4301082095
2537,5,2,Suburb,1993,265746.02677615464
2681,3,3,Rural,2001,289744.9749165088
1419,3,3,Suburb,2016,76391.60246558071
1072,3,1,Urban,1969,93450.96070537076
2889,2,1,Suburb,1959,336350.7237600278
1194,3,1,Suburb,2006,169533.77073870835
2195,2,2,Rural,2013,216315.22272951083
1671,4,3,Rural,2009,103320.0410372
2141,3,1,Rural,2001,274760.4721349746
2943,2,3,Rural,1956,394039.6354666174
1678,4,1,Rural,1972,174690.0674717038
2691,3,1,Suburb,1955,269191.0936047628
2810,2,3,Rural,1963,347410.20325832936
1832,2,2,Rural,1992,237428.69039088665
1442,3,1,Rural,1950,138937.56058590076
1124,2,2,Urban,1967,105681.82739328891
2577,5,3,Urban,2020,270419.0638535952
1941,2,3,Urban,1957,172704.0695041275
1835,4,3,Rural,1996,191213.4897642184
1908,3,3,Suburb,1986,195515.19584357587
2687,5,1,Rural,1961,323685.51926351566
2889,5,3,Urban,2019,389375.2606347824
2582,3,1,Urban,2001,277777.8740238248
2510,3,2,Rural,1970,194798.93113060872
1146,5,3,Suburb,1959,202634.6626083333
1581,4,2,Rural,1967,175671.4289010316
2981,2,2,Suburb,1963,373322.709223063
2972,3,3,Urban,2015,298219.25803589856
2754,3,1,Rural,1988,242996.11417015104
2872,3,3,Urban,2005,419879.2735243146
2724,2,1,Rural,2011,278196.82633276883
1905,2,3,Urban,2014,244659.93184575328
2999,4,1,Suburb,1996,287295.36870312114
2704,2,1,Urban,2021,334670.6241644762
2757,5,3,Suburb,1990,286397.09875766933
1140,4,2,Urban,1959,117900.96969265604
2699,3,1,Rural,2016,270296.91882520507
1801,3,1,Urban,2006,95067.63676047996
2146,3,3,Urban,2002,256719.6802848259
2201,5,2,Rural,1997,255837.3011615048
1411,3,1,Urban,2001,174929.03516190732
1407,2,2,Rural,2003,143653.74604184146
1702,3,3,Urban,1992,229619.11793469545
2035,4,1,Urban,1977,243045.4761884978
2950,5,3,Suburb,2013,391722.2206564887
1353,3,3,Rural,1956,133042.7603315108
1872,5,1,Suburb,1985,327890.73631409585
2584,5,3,Rural,1981,192298.3291022197
1389,4,2,Suburb,1980,107121.55607614123
2475,2,1,Suburb,1971,274858.0687803807
1623,4,3,Urban,1987,143028.1254473787
1400,2,2,Urban,1998,105502.0307404808
1234,2,2,Rural,1959,95372.94007662436
1872,5,1,Urban,1972,167840.5334811801
2123,5,3,Rural,1955,236581.5010719313
1328,4,3,Urban,1984,207185.44067221408
2286,2,3,Rural,1985,211455.1274512224
1273,5,1,Rural,1961,136840.75059411308
1487,5,3,Rural,1988,155845.7168116159
1613,5,2,Suburb,2018,146233.25006138225
2401,2,2,Rural,2012,324275.4424583672
2722,5,2,Urban,2008,341048.07277600584
2977,5,2,Urban,2005,260219.07668887425
2251,2,3,Suburb,1997,254485.4003821652
1728,2,1,Urban,2014,182873.81770310213
2479,5,1,Urban,1968,290559.77041189704
1194,2,3,Urban,1991,102256.41556223834
1563,5,2,Rural,2020,181083.9602405413
2461,3,3,Urban,2000,234205.53098342265
2776,2,3,Rural,1983,289493.3385661645
1519,5,2,Urban,1950,177297.50776560945
1332,2,3,Suburb,1958,73674.1383213827
2890,2,2,Suburb,1993,367156.3152576445
2722,5,2,Suburb,1950,348295.5826656541
2016,3,2,Suburb,2001,205280.22330459784
2355,4,1,Suburb,1985,259111.794407816
2296,5,3,Rural,2020,293362.58468357
1477,5,3,Suburb,2018,169458.93865961544
1832,2,2,Urban,2001,128044.94062880568
2450,2,2,Urban,1952,253411.8635105314
2623,4,2,Rural,1959,301507.1448423264
1092,5,1,Urban,1996,78766.34111317582
2067,3,3,Rural,2011,231943.9358688604
1943,5,2,Urban,1966,186738.96132792076
2178,2,3,Suburb,1977,314943.986600862
1888,5,1,Rural,2021,303453.81597937795
1009,4,2,Rural,1958,62000.52008457552
2522,2,2,Urban,2016,249565.69979829597
1326,4,3,Urban,2015,118883.93051887256
2651,3,3,Urban,1958,285537.6868413317
2738,4,1,Rural,2019,339175.84264797374
2064,2,3,Suburb,1997,260423.72144409164
1353,2,1,Rural,1990,57117.7994078096
2772,3,2,Rural,1966,314844.3980322435
1660,3,2,Urban,1990,181248.5882742991
1587,3,1,Rural,2007,255335.32363512856
1198,5,1,Urban,2002,129437.46429665196
1153,3,2,Suburb,2013,195791.03246907
1404,5,3,Rural,1988,214871.17870261223
1790,3,2,Urban,1966,147353.15931410537
2391,3,3,Urban,2020,232121.0152476277
1614,2,1,Rural,2001,179974.26018988335
1923,4,3,Rural,1979,321765.59250655747
2913,4,3,Rural,1980,347469.1034211848
1188,2,2,Suburb,1997,200283.4678199396
2204,2,3,Suburb,1955,221797.8302435112
1680,2,1,Urban,1970,106245.96355363909
1679,3,3,Urban,1989,132620.73253008391
1341,4,1,Suburb,2000,237934.63097331545
2838,5,2,Rural,1985,280662.82452216686
2987,3,3,Rural,1983,370870.7850357833
1868,5,3,Suburb,1968,284608.6597216218
2208,5,2,Suburb,1979,292001.5235077043
2658,5,3,Rural,1980,253773.4936067328
2827,5,2,Rural,1962,237937.34157841143
1508,4,3,Urban,2006,91584.7330247112
1762,5,2,Suburb,1971,242846.1484009616
1680,5,1,Suburb,1953,142932.21861446157
1108,3,2,Rural,1957,114510.6287013844
2907,3,3,Suburb,1953,278646.9152855948
1487,5,3,Suburb,1969,155388.3055807375
2293,4,3,Urban,1997,216710.2337273777
2338,5,2,Rural,1987,167006.3345872518
1999,2,3,Urban,1971,192677.9785758142
2578,4,3,Suburb,1965,294358.44087362895
2537,5,2,Rural,1985,348507.9024442848
2399,3,3,Rural,1969,252925.4412097248
1499,3,1,Suburb,2012,122134.09201040048
2717,3,1,Rural,2019,330231.0759439628
2426,2,3,Suburb,2001,268558.1426731797
2845,3,1,Urban,2005,404914.6021449962
1217,5,3,Suburb,2004,186778.1092600848
1517,5,2,Urban,1965,151862.93246762027
2988,2,3,Rural,1970,278007.5709515347
1585,4,1,Urban,2003,275992.87925949664
1218,4,1,Urban,2016,139304.89049454988
1402,2,1,Urban,1967,107501.348621467
1744,5,2,Urban,1973,171945.39423317095
2088,2,1,Urban,2013,223631.54929345008
2338,5,2,Rural,2020,252925.97845991995
1946,3,1,Urban,2010,279014.26936000754
1880,3,3,Suburb,1979,222767.6287227921
1261,3,1,Rural,1956,128462.01195409527
2189,4,3,Urban,2004,277765.85498754523
2442,4,1,Suburb,1978,212847.1141882466
1366,3,1,Suburb,2005,162569.1521282309
2294,4,2,Rural,1999,310564.1227010903
2946,5,1,Suburb,2006,362478.8768443532
1042,5,2,Rural,2015,124613.14294574616
2459,2,2,Urban,2006,247044.8111718613
1068,5,2,Suburb,1973,129879.90192762372
1801,2,3,Urban,1951,244220.68913676476
1295,2,3,Rural,1968,137252.74615696384
1945,2,2,Urban,1981,166051.08581378302
2979,5,3,Suburb,2001,270830.6959424276
2211,4,3,Rural,1953,279796.9502125467
1679,5,3,Rural,2004,149181.83450821045
2649,5,3,Urban,1997,247283.03348299736
1091,5,2,Urban,1995,145484.97875396724
2228,3,1,Rural,1983,207893.41607181105
2859,2,3,Urban,1986,293597.75248442
2026,5,2,Rural,1975,267265.4364092848
1973,3,1,Urban,1996,200293.79690062595
2061,4,1,Rural,1987,301820.20295420184
2364,4,3,Suburb,1957,279231.409767568
2879,4,3,Urban,1993,366588.39801610506
2412,2,3,Rural,1994,260456.4657233712
1075,3,2,Rural,2001,108699.80230230965
2942,5,2,Urban,1967,366522.2627428135
2639,5,2,Urban,2020,208749.9436931922
1757,5,2,Suburb,1955,224912.51595961064
2607,4,1,Suburb,1963,296272.1510549894
2348,5,1,Urban,1981,225146.3607086508
2776,4,1,Suburb,2015,309897.72191512026
1528,3,2,Suburb,1959,134713.61134430362
1170,5,1,Suburb,2017,176484.62182871177
2652,2,2,Rural,2017,356229.4325557032
1667,5,2,Urban,2000,144617.6565769405
1631,2,1,Rural,1964,161790.21929759733
2856,2,1,Rural,1993,317740.16824832093
2436,2,2,Suburb,1974,221029.0735513604
1338,2,2,Rural,1958,107896.24625181424
2716,2,1,Suburb,1975,271058.96898907825
1657,3,1,Suburb,1959,160388.50972968852
